Model;avg_precision;avg_recall;avg_f1-score
TransE;0.5056230330448466;0.524258424107342;0.5139848644344696
TransH;0.5546961054287962;0.5788561743216705;0.5653708316226409
TransR;0.5598814909520063;0.5830005263161654;0.5701537920675771
TransD;0.5631589299763966;0.5867078085044601;0.5735758983863619
RotatE;0.48802124311565703;0.5067430657181575;0.4964386583328501
QuatE;0.4725978560188827;0.4895210032408889;0.4802998346326464
HolE;0.5007990755310778;0.5198554481322958;0.5094719050584423
RESCAL;0.5356510621557827;0.5563725712214891;0.5449450285243204
UM;0.4412027930763179;0.4552816008430544;0.44767590869444585
SE;0.5143858182533438;0.5341052611040361;0.523187980923263
ERMLP;0.4634588906372935;0.48385796890901017;0.4728558887800586
