TransD;9.6551724138;90.3448275862;0.6956992481203008;0.7008042529989095;0.69823261935092
CrossE;9.6551724138;90.3448275862;0.7245714285714286;0.73020719738277;0.7273678260796206
QuatE;9.6551724138;90.3448275862;0.8751278195488721;0.8832333696837512;0.8791482828146485
TransE;9.6551724138;90.3448275862;0.8689523809523809;0.8769901853871319;0.8729392510355416
TransH;9.6551724138;90.3448275862;0.6070375939849624;0.6107142857142857;0.6088630554172958
RotatE;9.6551724138;90.3448275862;0.8796591478696743;0.8877453653217012;0.8836700776972591
HolE;9.6551724138;90.3448275862;0.871047619047619;0.8790894220283534;0.8750364864978867
ERMLP;9.6551724138;90.3448275862;0.7086616541353383;0.7139312977099237;0.711276647797734
RESCAL;9.6551724138;90.3448275862;0.5030676691729322;0.5048391494002182;0.5039489779562499
SE;9.6551724138;90.3448275862;0.8731428571428571;0.8811886586695747;0.8771337219602318
UM;9.6551724138;90.3448275862;0.8509974937343359;0.8588331515812431;0.8548841290061331
TransR;9.6551724138;90.3448275862;0.8591578947368422;0.8671210468920393;0.8631077216396568
