Model;avg_precision;avg_recall;avg_f1-score
TransE;0.5258162863886703;0.5468131748205247;0.5352496125339561
TransH;0.5883359559402046;0.6143494987410871;0.5999233393121131
TransR;0.5657995672698662;0.5891746622350951;0.5761754130795972
TransD;0.5656741738788356;0.5900966299312562;0.5766343342582617
RotatE;0.546975806451613;0.5679029422945308;0.5563339177171415
QuatE;0.48815155389457116;0.508473140486207;0.49727647210324866
HolE;0.5115017702596381;0.5299117717370064;0.5197246914702969
RESCAL;0.5398947678992918;0.5613486409423526;0.5495031011807641
UM;0.4422944531864673;0.4567993684367714;0.44890363535660543
SE;0.5272915027537373;0.547555026005414;0.5362226012665969
ERMLP;0.5679361723052715;0.5949354780632853;0.5799757899462505
