RotatE;0.43266620771046427;0.4462277598271882;0.4388914589029243
TransD;0.5337922895357986;0.5569638199037954;0.5441821978961396
ERMLP;0.4179115853658537;0.4304068256599902;0.42376344299851854
SE;0.4918051730920535;0.5122541828687195;0.5009480249593663
TransE;0.46419404012588517;0.4832789561780987;0.47272447246511684
TransH;0.5443327104642014;0.5678202500599397;0.5547034748238813
HolE;0.4506564712824548;0.46487977228279387;0.4571406312761311
QuatE;0.45489525963808025;0.4690875478074335;0.46128963545466223
RESCAL;0.517287077104642;0.5389572989409657;0.526942448341529
UM;0.4036782061369001;0.4163692871859471;0.4095327326990474
TransR;0.5511924665617624;0.5764505733145995;0.5625183714714426
