Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.8631979949874686;0.8711968375136314;0.8671655263757309
TransH;9.6551724138;90.3448275862;0.5793082706766917;0.5824563794983643;0.5808717953044198
RotatE;9.6551724138;90.3448275862;0.8813734335839598;0.8894629225736097;0.8853859976209961
PairRE;9.6551724138;90.3448275862;0.8767619047619049;0.884814612868048;0.8807562195770096
TransD;9.6551724138;90.3448275862;0.7910877192982457;0.7979416575790621;0.7944877970591461
TransR;9.6551724138;90.3448275862;0.861674185463659;0.8696701199563796;0.8656402642212979
HolE;9.6551724138;90.3448275862;0.8706265664160402;0.8786395856052345;0.8746011793785906
CrossE;9.6551724138;90.3448275862;0.7222456140350878;0.7278489640130861;0.7250259412672837
DistMA;9.6551724138;90.3448275862;0.8283107769423559;0.8358233369683752;0.8320372541906746
ERMLP;9.6551724138;90.3448275862;0.7226165413533835;0.7280806979280261;0.7253279566717564
QuatE;9.6551724138;90.3448275862;0.8771829573934837;0.8852644492911669;0.8811915266963057
RESCAL;9.6551724138;90.3448275862;0.5090927318295739;0.510959651035987;0.5100213435467407
SE;9.6551724138;90.3448275862;0.8867167919799499;0.8949563794983642;0.8908037152956461
UM;9.6551724138;90.3448275862;0.8579348370927319;0.8658396946564885;0.8618557918624564
