Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.6662155388471177;0.6707606324972738;0.668471447733619
TransH;9.6551724138;90.3448275862;0.5296140350877192;0.5318838604143947;0.5307422998726137
RotatE;9.6551724138;90.3448275862;0.8281904761904763;0.8356188658669575;0.8318752794486111
PairRE;9.6551724138;90.3448275862;0.6815538847117795;0.6864640130861505;0.6839906527075934
TransD;9.6551724138;90.3448275862;0.5423057644110276;0.5446837513631406;0.5434876873887478
TransR;9.6551724138;90.3448275862;0.5293834586466165;0.5316248636859324;0.5304976505226217
HolE;9.6551724138;90.3448275862;0.8348972431077695;0.8423664122137404;0.8386022929549423
BoxE;9.6551724138;90.3448275862;0.7039799498746867;0.7092966194111232;0.7066181867265073
CrossE;9.6551724138;90.3448275862;0.5090526315789474;0.5108914940021811;0.5099673519660529
