Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.6662155388471177;0.6707606324972738;0.668471447733619
TransH;9.6551724138;90.3448275862;0.5296140350877192;0.5318838604143947;0.5307422998726137
RotatE;9.6551724138;90.3448275862;0.829;0.836;0.832
HolE;9.6551724138;90.3448275862;0.835;0.843;0.839
CrossE;9.6551724138;90.3448275862;0.569233082706767;0.5721101417666303;0.5706623248437197
DistMA;9.6551724138;90.3448275862;0.5074085213032581;0.5091603053435114;0.5082801150695564
ERMLP;9.6551724138;90.3448275862;0.5262155388471178;0.5283669574700108;0.5272851514716923
QuatE;9.6551724138;90.3448275862;0.865;0.873;0.869
RESCAL;9.6551724138;90.3448275862;0.5416641604010024;0.5441248636859324;0.542887031053595
SE;9.6551724138;90.3448275862;0.7494035087719298;0.7555343511450381;0.7524452280722475
UM;9.6551724138;90.3448275862;0.5927218045112783;0.5959514721919301;0.5943258223170824
