Model;avg_precision;avg_recall;avg_f1-score
TransE;0.559020948072384;0.5827065974207665;0.5695955975582754
TransH;0.5883359559402046;0.6143494987410871;0.5999233393121131
TransR;0.571442269866247;0.5962623560969824;0.5824730296083808
TransD;0.5763203186467349;0.5992477625634015;0.5864534653597344
RotatE;0.5180492722265931;0.5372352401895072;0.5266316903585471
QuatE;0.4846675845790716;0.5001276711852457;0.49145618824887094
HolE;0.518892604248623;0.5368606524221061;0.5268781403359954
RESCAL;0.5402266915814319;0.5594213273082198;0.5487450519219753
UM;0.48908831628638866;0.5044602831801688;0.49595413233677804
SE;0.5132695712037765;0.5355249758169317;0.5231607955161988
ERMLP;0.5679361723052715;0.5949354780632853;0.5799757899462505
