Model;avg_precision;avg_recall;avg_f1-score
TransE;0.5305664830841857;0.5494689213329474;0.5389250895474588
TransH;0.5605404209284028;0.5843979179013886;0.5710889509631503
TransR;0.5598814909520063;0.5830005263161654;0.5701537920675771
TransD;0.5541158536585366;0.5767744153452605;0.5641419448989413
RotatE;0.48395702202989777;0.5025456744913666;0.49236232199728136
QuatE;0.45491738788355623;0.46735113410899454;0.46051226299420434
HolE;0.4902512785208497;0.5103467756387315;0.4993887593296364
RESCAL;0.5207931746656176;0.5409334631343614;0.5297620981937695
UM;0.47755458300550746;0.49212673381721983;0.4841290603815578
SE;0.5073490361919748;0.5267541842633717;0.5160376412756573
ERMLP;0.5022472462627852;0.5273943161142018;0.5136093545033603
