Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.6258245614035087;0.6296210468920392;0.6277094915511613
TransH;9.6551724138;90.3448275862;0.47892731829573937;0.480288985823337;0.4796055240135992
RotatE;9.6551724138;90.3448275862;0.8220852130325815;0.8293620501635768;0.8256949306967446
PairRE;9.6551724138;90.3448275862;0.684531328320802;0.6895310796074154;0.6870124939892186
TransD;9.6551724138;90.3448275862;0.6035989974937344;0.607129225736096;0.6053519154356868
TransR;9.6551724138;90.3448275862;0.5500551378446115;0.5526717557251908;0.5513552730371108
HolE;9.6551724138;90.3448275862;0.8298245614035087;0.8372001090512541;0.8334832162109722
BoxE;9.6551724138;90.3448275862;0.7711779448621554;0.7776581243184297;0.7743928056218735
AutoSF;9.6551724138;90.3448275862;0.47357393483709276;0.4746455834242093;0.4741085062048137
CrossE;9.6551724138;90.3448275862;0.528922305764411;0.5311068702290076;0.5300083518226377
