Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.6258245614035087;0.6296210468920392;0.6277094915511613
TransH;9.6551724138;90.3448275862;0.47892731829573937;0.480288985823337;0.4796055240135992
RotatE;9.6551724138;90.3448275862;0.822;0.829;0.825
HolE;9.6551724138;90.3448275862;0.829;0.837;0.833
CrossE;9.6551724138;90.3448275862;0.548641604010025;0.5511995637949836;0.5499126854906062
DistMA;9.6551724138;90.3448275862;0.48986466165413534;0.4913031624863685;0.4905810000253085
ERMLP;9.6551724138;90.3448275862;0.5187769423558898;0.5207742639040349;0.5197701983346972
QuatE;9.6551724138;90.3448275862;0.861;0.869;0.865
RESCAL;9.6551724138;90.3448275862;0.5198095238095238;0.5218647764449291;0.5208314703425934
SE;9.6551724138;90.3448275862;0.7194987468671679;0.7250408942202836;0.7222487493356503
UM;9.6551724138;90.3448275862;0.5272380952380952;0.5293075245365322;0.5282671233454532
