TransD;9.6551724138;90.3448275862;0.7318596491228069;0.7376772082878954;0.7347461130279996
CrossE;9.6551724138;90.3448275862;0.6507368421052633;0.6550845147219193;0.6528948767051638
QuatE;9.6551724138;90.3448275862;0.8885914786967419;0.8969465648854962;0.8927356015421346
TransE;9.6551724138;90.3448275862;0.8510776942355889;0.858969465648855;0.8549921121675087
TransH;9.6551724138;90.3448275862;0.49417543859649127;0.495706106870229;0.4949374456920624
RotatE;9.6551724138;90.3448275862;0.8796992481203008;0.8878135223555071;0.8837240692779469
HolE;9.6551724138;90.3448275862;0.8903057644110277;0.8986641221374047;0.8944515214658715
ERMLP;9.6551724138;90.3448275862;0.7333734335839599;0.7390539803707743;0.7361920750482971
RESCAL;9.6551724138;90.3448275862;0.50131328320802;0.5030534351145038;0.5021790664518252
SE;9.6551724138;90.3448275862;0.8750075187969925;0.8830288985823337;0.8789863080725849
UM;9.6551724138;90.3448275862;0.8544661654135337;0.8623364231188659;0.8583699604342947
TransR;9.6551724138;90.3448275862;0.8609122807017544;0.8689067611777535;0.8648776331440816
