TransH;0.5741345397324942;0.5977619841155978;0.5845898322872785
UM;0.47008507081038553;0.48648592121438183;0.47756551088649435
TransE;0.5608993902439025;0.5860707961606287;0.5721033034742155
HolE;0.5214004720692368;0.5404620043023473;0.5298321194054043
ERMLP;0.5558910306845004;0.580596308911948;0.5669374197269372
RotatE;0.47084972462627855;0.48512560669563526;0.4773073052441271
QuatE;0.5190401258851298;0.5396665333190446;0.5282138931968781
TransR;0.560415027537372;0.5834460163186174;0.5706624469338029
RESCAL;0.5523455940204564;0.5759777257592693;0.5628252962565818
SE;0.5063311369000787;0.5241670776174654;0.5143117718042632
TransD;0.5488321203776555;0.5711131960151968;0.5587416336190733
